01 06 55	+35 21.4	 048.7	 -11  -15   -8
01 08 34	-67 43.1	 120.9	 -16  -10  -34
01 09 59	-17 16.4	 267.4	 -28   +0  -24
01 11 53	-08 11.5	 056.8	 -26  +17  -11
01 11 51	-08 10.7	 056.8	 -27  +17  -12
01 12 56	-45 47.9	 065.9	 -36  -18  -11
01 14 05	-69 08.5	 050.7	 -35  -18   -6
01 14 04	-69 08.4	 050.7	 -34  -18   -7
01 15 05	-15 45.6	 066.3	 +10  -99   -4
01 16 06	-01 07.6	 052.8	 -34  -49  -24
01 16 43	+79 53.5	 040.9	 -16  -25  -10
01 17 50	+76 27.0	 041.7	 +14  -15   -8
01 19 16	-41 54.7	 063.4	 -58  -95   -7
01 20 33	-13 13.6	 048.4	 -46  -29  -24
01 20 31	-13 13.1	 048.4	 -53  -25  -51
01 22 10	+18 14.6	 061.0	 -57  -59  -14
01 26 20	+21 28.0	 032.4	 -33  -27  -13
01 30 53	-24 25.9	 070.4	  +0  -17  +51
01 30 55	+68 41.5	 038.2	 +48   -6   +2
01 31 35	+34 25.4	 040.8	  +2   -3   +3
01 32 42	-30 10.0	 064.3	 -20   -5  -32
01 33 51	+41 09.4	 057.4	 +32  -23  -21
01 34 49	-29 38.8	 045.5	 -26  -31   -4
01 35 07	+56 58.9	 090.3	 +16  -12  -19
01 36 25	-18 12.7	 380.7	 -43  -19  -19
01 36 25	-18 12.7	 380.7	 -44  -19  -22
01 37 37	-46 45.7	 065.4	  +4  -15  -25
01 37 39	+63 33.6	 076.7	  +5   -5   +0
01 37 52	+66 39.7	 042.9	 -99  -57  -18
01 37 54	-56 26.9	 148.9	  -4  -14  -16
01 37 54	-56 26.9	 148.9	  -3  -16  -18
01 38 44	+42 21.8	 073.1	 -42  -34   +0
01 39 28	-45 40.3	 052.9	 -17  -12   +9
01 39 47	+20 01.6	 126.5	 +36  -26   +1
01 40 12	+63 34.8	 075.1	 +45  -28  -42
01 40 46	+04 04.9	 113.8	 +40  -20   +2
01 41 45	-16 12.0	 286.0	 +18  +28  +13
01 43 58	+12 09.8	 038.1	 -10   +1  -21
01 44 06	+63 36.4	 097.2	 -26  -16   -6
01 45 20	-26 59.7	 054.8	 +48  -34  -30
01 45 52	+32 26.3	 038.6	 +25   +9  +34
01 46 12	-41 44.7	 063.3	 -54  -31  -27
01 47 08	-10 56.0	 044.2	 +20   +3   -6
01 46 56	-10 57.0	 044.2	 +20   +3   -5
01 49 19	-11 02.6	 086.0	  -7  -43   -1
01 50 13	+29 20.2	 053.4	 +14  -21   -8
01 50 25	-22 40.9	 083.7	 -39  -30   -3
01 51 52	+20 33.9	 059.0	  -1  -12   -2
01 54 01	-51 51.4	 054.8	 -61  -18  +10
01 54 43	-10 29.0	 045.1	 +62   +8  -14
01 54 45	-10 29.4	 045.1	 +61   +8  -15
01 54 52	-60 28.4	 054.4	 -37  -14   +1
01 55 06	-52 00.8	 053.4	 -50   -9   -5
01 55 54	+58 16.9	 078.5	  -9  -20   -6
01 57 12	-61 48.8	 039.6	 -23  -27   -6
01 57 28	+12 50.1	 223.8	 +14  -52   +5
01 59 28	+03 42.1	 042.2	 +98  -17   -9
02 01 55	-45 39.2	 049.4	 -36  -38  -30
02 02 37	-17 51.1	 118.0	 -22  -36  +46
02 03 48	+44 57.2	 055.3	 -61  +12  -44
02 04 21	+23 13.6	 046.6	  -1  -28   +3
02 05 02	-00 51.0	 040.4	 +71  -22   +1
02 05 00	-00 49.8	 040.4	 +72  -23   -1
02 05 56	-66 48.7	 064.6	-153  -72  +53
02 08 13	+39 41.6	 059.2	 -45  -81   -5
02 08 25	-51 04.1	 089.4	-103  -77  -25
02 09 51	+03 22.0	 086.7	+117  -13  -80
02 10 14	-02 37.6	 039.7	 -28  -41  +17
02 10 13	-02 37.8	 039.7	 -30  -40  +17
02 10 27	-17 55.4	 044.9	 -67  -20  -11
02 10 42	-30 57.5	 063.0	  -3   -3   -9
02 11 35	+67 26.6	 033.6	 -23  -34   -9
02 11 40	-32 16.0	 108.5	 -15  -51  -31
02 14 00	+33 59.8	 098.1	 -33  -46  +11
02 14 52	+56 20.0	 046.7	 -34  -30  -11
02 16 44	-26 10.9	 080.5	 -11  +27  -10
02 18 57	+47 39.1	 086.8	 +19  -31  +15
02 19 11	-31 09.8	 042.3	 -78  -57  -23
02 20 15	-24 02.6	 083.3	 -11  -13  -14
02 20 51	-68 53.2	 048.1	  +4   -1   -6
02 23 23	+05 33.2	 044.0	 -46  -17  +19
02 25 09	+04 12.3	 060.9	 -21   +7   +4
02 25 46	+32 02.1	 032.2	 -34  -33  +41
02 25 52	+29 42.5	 031.7	 -26  +32  -14
02 26 41	-20 12.3	 038.9	 -65  -28   +5
02 28 55	+02 02.8	 040.0	 -17   +2  -20
02 29 18	-46 54.4	 064.0	 +14  -29  -24
02 32 28	-44 00.6	 087.2	  +6  -30  -33
02 32 49	-03 46.3	 042.4	 +66  -28  +15
02 33 03	+20 00.3	 069.0	  +8  -25  +13
02 33 20	+06 39.0	 129.4	 -81   +0  +36
02 33 31	+06 38.0	 129.4	 -81   +0  +36
02 34 09	-03 22.4	 038.0	 -29  -17   +7
02 34 54	-34 47.5	 055.2	 +15  -17   -8
02 35 31	+30 36.4	 044.0	+133  -34  -31
02 36 56	-26 31.8	 047.5	  -2  -31   -9
02 37 09	-12 05.0	 068.6	  -4  -20  -14
02 37 09	-12 05.0	 068.6	  -5  -20  -15
02 38 07	+00 58.9	 041.6	 -81   +7  -37
02 38 28	-30 21.0	 042.0	-104  -81  +22
02 39 05	+39 59.0	 042.7	 +19  -21  -11
02 40 30	+19 13.1	 054.7	 -45  -16   -2
02 40 42	+03 01.6	 046.9	 +19   -2  -10
02 40 42	+03 01.6	 046.9	 +24   -3   -4
02 40 46	+49 01.1	 079.3	 -32   +0   +0
02 40 46	+49 01.1	 079.3	 -33   +0   +0
02 40 51	-51 00.9	 068.3	 -27  -15   -8
02 41 18	+25 19.0	 125.6	 -40  -18  -13
02 41 22	-09 02.4	 057.3	  +0  -77   -4
02 42 14	+09 54.3	 048.3	 -37  -14  -11
02 42 46	-18 47.0	 071.0	 -26  -17  -13
02 43 20	+25 26.5	 052.6	 -22  -17   -8
02 43 34	+11 34.1	 056.1	 -14  -18   -8
02 43 51	+16 13.1	 066.7	 +72   +1  -29
02 45 12	+26 51.7	 055.6	 -24  -23   -4
02 45 42	+30 54.6	 049.9	  -5  -16   -1
02 47 49	+15 30.6	 057.3	  +9  -56   +6
02 48 52	-44 17.0	 061.9	 +14  -25  -23
02 48 58	+34 11.9	 066.7	  +0 -105   -9
02 49 23	+60 39.0	 030.3	 +37  -63   -3
02 50 07	-12 58.3	 120.4	 -14  -18  -11
02 50 14	-33 39.3	 039.3	 -47  -60  -30
02 51 14	-63 53.5	 081.0	 -48  -85  -62
02 52 00	-36 06.3	 047.9	 -23  -53  +23
02 52 41	+26 40.4	 039.6	 -37  -14  -17
02 52 41	+26 40.4	 039.6	 -33  -17  -14
02 52 50	+55 14.5	 044.8	-114  -18  -15
02 53 27	+13 42.8	 041.1	 +13   +4  -19
02 54 43	+10 35.8	 046.8	-126 -141  +27
02 59 28	+26 24.9	 036.8	 -20  -26   -5
02 59 28	-28 16.9	 039.5	  +4  -71  -25
03 00 03	+61 31.2	 036.2	 -72  -72  -25
03 00 11	-23 49.2	 061.6	 +13   +8   +3
03 01 09	-05 51.5	 049.1	  +8  -40  +23
03 03 15	+75 51.8	 051.8	 -57   +4  -20
03 03 38	+40 10.1	 032.6	 +68   -4  -25
03 03 50	+01 47.2	 063.6	 +36  -71   +3
03 04 57	-13 57.0	 043.4	 +14  -24  -19
03 05 27	+49 25.4	 092.4	 -77  -17  +22
03 06 09	+45 32.9	 076.7	 +19   +2  -29
03 09 57	-29 11.0	 072.7	 -36  +20  +30
03 10 13	-01 22.9	 053.3	 -19  -16   -8
03 10 30	-38 17.2	 080.3	-123  -77  -38
03 10 58	+52 10.1	 041.8	 +45  -40  -54
03 12 04	+08 48.1	 043.6	  +9  -63  +12
03 12 17	+57 59.3	 070.6	 -42  -17   -4
03 12 17	+57 59.3	 070.6	 -42  -17   -4
03 12 35	-26 38.0	 058.2	 -23  -14   -1
03 13 24	-45 50.7	 064.9	  -3  +11  -11
03 13 56	+79 46.9	 073.8	  +5  -21  +25
03 14 52	+38 04.7	 064.2	 -18  -52  -16
03 16 30	-03 01.4	 064.2	 -25  -31   -5
03 16 41	-62 46.0	 093.6	 -63  -42  +13
03 16 44	+03 11.3	 104.5	 -22   -4   -4
03 17 07	-62 41.8	 087.5	 -66  -44  +15
03 17 54	+08 51.3	 050.7	 -32  -52  +21
03 17 56	-43 15.6	 159.6	 -81  -94  -27
03 20 51	-07 58.1	 035.0	 -16  -19  -39
03 21 43	-50 10.5	 051.0	 -38   +3  +17
03 21 42	-50 10.6	 051.0	 -38   +7  +14
03 22 32	-05 31.7	 066.5	 +47  -28  -20
03 24 07	-30 47.7	 053.2	 -47  -12   +3
03 25 36	-19 58.9	 071.8	 -51  -20   -7
03 26 08	-63 40.1	 059.8	  +9  -64  -17
03 27 37	+19 56.0	 045.2	 -28  -11   -6
03 27 37	+19 56.0	 045.2	 -30  -10   -7
03 27 37	+19 55.7	 062.4	 -22   -6   -5
03 28 30	-63 06.8	 056.9	 -42  -20   -3
03 30 34	-09 37.6	 305.6	  -4   +7  -21
03 31 17	-44 52.3	 082.4	  +7  +36  +17
03 33 26	-48 35.3	 085.3	 -28  -19   -6
03 34 19	+00 14.7	 059.4	  +6  -18  -47
03 35 48	-11 36.7	 064.8	+163 -178 +103
03 37 49	-03 22.5	 046.9	-107  -77  -49
