14 26 19	-62 28.1	 771.8	 -25   -2  +13 	0.1221 #Gl 551   #proxima centauri C
14 39 36.5	-60 50.04	 747.78	 -32   +4  +14	1.1055 #Gl 559   #alpha cent A  
14 39 35.1	-60 50.25	 746.56	 -26   -1  +14	0.9373 #Gl 559   #alpha cent B
